click,time,labela,labelb
7,2021,1,0
7,1953,2,2
3,2375,0,0
6,1997,0,2
5,1874,0,0
1,2454,2,1
5,1893,2,1
2,1901,1,0
1,1886,1,1
6,2010,1,2
3,1832,0,1
4,1963,1,1
7,2051,1,0
7,2052,1,2
7,2311,1,1
1,1976,1,0
3,1930,1,1
7,1958,0,1
7,1933,2,0
4,2159,1,2
2,2816,0,2
7,2167,1,0
8,2052,1,0
2,2002,2,2
2,2078,1,1
9,3807,1,2
4,1941,2,1
5,2084,1,1
4,1992,1,2
5,2298,1,2
1,2578,2,0
3,2043,2,1
8,2970,1,2
4,1951,2,0
2,2203,1,0
6,2619,2,0
6,2050,1,2
4,1943,1,2
5,1929,1,2
7,1975,1,0
1,2019,2,2
1,2076,2,1
5,2227,2,1
9,2131,0,1
8,2043,0,2
2,2613,0,1
4,2150,1,2
4,2042,1,1
2,2044,2,1
5,2144,0,0
6,2244,2,1
5,4265,1,2
4,2766,2,2
9,2387,0,0
7,2368,2,0
3,2096,0,1
3,2261,0,0
6,2189,0,2
6,2052,0,1
8,2422,1,2
6,2031,2,2
1,2094,1,2
8,2616,0,2
9,2269,2,2
4,1979,1,2
4,1952,0,1
8,1994,1,1
1,1872,2,2
6,2105,0,0
1,2105,1,0
4,1959,2,2
8,2566,0,2
7,2175,2,0
1,2119,0,2
9,2044,2,0
4,2005,0,0
5,1985,0,0
3,1992,2,0
5,1928,2,1
2,2146,1,0
1,1982,1,1
7,1925,2,0
8,2113,2,0
4,1831,1,1
1,2615,2,0
5,2176,0,0
3,2068,2,0
7,2250,2,0
8,2431,2,0
1,2026,2,1
4,1952,1,0
1,2160,0,2
8,1951,2,2
4,2481,0,0
3,1957,2,1
1,2840,1,1
8,2773,0,1
2,1967,1,0
3,1978,1,0
8,1977,2,1
2,2028,0,0
9,2163,2,0
4,1974,0,0
4,2229,0,2
9,2126,1,0
8,2698,0,1
9,2018,0,1
5,2064,2,2
8,2060,2,1
5,2000,1,0
1,2007,0,1
3,2037,2,2
5,2102,2,0
1,3824,2,1
9,2012,0,2
2,2327,1,0
4,2240,2,0
8,1907,2,1
6,1892,0,1
5,2239,0,2
7,1969,1,0
1,1959,2,2
3,2145,2,0
4,1927,2,0
5,2155,2,0
7,1904,0,1
3,2194,0,2
5,1930,1,0
1,2009,0,1
6,2060,0,2
9,2009,1,1
2,1983,2,2
8,1874,0,1
8,2266,0,0
7,2027,0,1
8,1971,2,1
8,2165,2,0
8,1956,2,2
8,1975,1,1
7,2035,1,2
1,2034,2,1
2,1998,1,1
4,2460,2,2
9,2331,0,0
6,1942,1,2
7,2227,2,2
5,2562,1,2
8,1886,0,1
7,2052,1,2
6,1894,0,0
6,2003,2,2
1,2674,0,2
5,2019,2,2
6,1899,1,2
5,1927,1,0
9,2029,2,0
4,1915,0,0
8,1971,1,0
3,2084,2,0
7,1956,0,0
5,1938,2,0
8,2317,0,2
2,1933,0,1
7,1962,2,2
1,2011,0,1
9,2108,1,2
9,2059,1,1
8,2007,1,2
9,2429,0,2
3,2167,0,0
8,2155,0,2
4,1978,1,0
5,1878,1,0
2,2360,0,2
1,1869,2,0
5,2055,0,0
8,2035,1,2
5,1882,2,1
2,1953,1,0
1,1825,1,1
3,2082,0,2
6,2060,1,1
2,2470,0,2
3,1952,2,2
5,2415,0,2
4,2317,0,1
8,1974,0,1
2,1977,1,0
5,1986,2,2
9,2062,2,2
9,1974,2,1
7,2017,2,1
2,2068,2,1
9,2622,1,1
5,2066,0,2
7,2339,0,1
3,1992,1,1
8,2374,0,2
7,2099,2,0
6,2110,1,1
8,2069,2,2
7,2093,1,0
8,2230,1,0
2,2042,2,2
3,2136,1,2
3,1955,1,0
5,1911,2,2
9,1952,2,2
5,1896,1,0
5,1982,1,2
2,1908,2,1
5,2137,0,0
4,2078,0,1
6,1988,2,2
1,2470,1,2
1,2094,1,1
4,2012,1,0
2,1948,0,0
4,1988,1,1
2,2141,2,0
6,2040,0,1
2,3554,2,2
8,2086,0,1
4,1975,2,2
1,2060,1,1
4,2090,1,0
3,1970,0,1
8,1954,2,2
8,2019,1,1
7,2010,1,2
7,2062,1,1
3,2157,1,2
2,2113,1,0
1,2042,1,1
6,2069,1,2
8,2423,2,0
3,2237,0,0
8,2021,1,1
2,2043,2,0
4,1878,0,1
7,2071,0,0
6,2050,2,1
4,1972,2,1
5,2121,1,1
6,2051,1,1
7,2010,2,1
9,2096,1,2
8,2019,1,0
3,2056,2,0
4,2204,2,0
8,1995,0,0
9,2045,0,0
1,1986,0,0
1,2076,0,2
4,1843,1,1
8,2029,1,1
2,1991,2,0
8,2008,1,2
5,1889,2,1
3,2307,1,1
6,2282,2,0
9,2280,2,2
7,2162,2,2
8,2095,2,2
4,2039,0,0
9,2519,1,1
4,3159,0,1
7,1952,0,0
8,2017,0,0
2,2101,1,2
5,2493,1,1
6,2064,1,1
4,1991,1,1
8,2350,1,2
9,1915,1,1
8,2011,1,2
3,3045,1,2
4,2020,2,2
7,2101,0,1
6,1953,1,2
6,2034,1,1
8,2118,2,2
9,2053,1,2
9,2178,0,2
1,1976,2,1
5,2044,2,0
2,2192,1,0
5,1897,2,2
8,1971,2,1
7,1977,2,2
5,1925,1,2
4,1954,0,0
6,2051,0,1
3,1985,2,0
5,1953,2,1
8,1925,0,0
3,2112,1,0
8,2137,2,1
3,1900,0,1
2,2084,0,2
5,1834,0,1
1,2093,2,2
7,1783,1,1
3,2556,1,2
7,2117,0,2
1,2078,1,1
1,1971,0,0
9,1990,2,1
1,1884,0,1
3,2119,2,2
7,2106,1,2
7,2179,1,1
6,2987,2,2
6,2072,2,1
3,2042,1,0
5,1999,1,1
4,2002,1,2
4,2100,1,1
8,2062,1,1
5,1976,0,0
2,2060,2,2
6,1918,2,2
7,2070,0,2
1,2134,1,0
7,2319,2,0
9,2021,2,1
9,2027,2,0
5,1909,0,1
3,1944,2,1
4,1867,0,1
5,1857,2,1
5,1980,2,0
9,1995,0,0
9,2076,2,2
4,1985,1,2
2,2059,0,2
2,2017,2,0
1,1919,2,2
3,2212,2,0
4,2185,2,0
1,2523,0,1
9,1939,0,0
7,2010,2,0
2,2058,0,0
5,2020,1,2
2,2494,2,0
3,1974,2,1
8,2029,1,2
4,2045,2,0
8,1966,0,0
5,1908,2,2
3,2101,0,2
6,1975,1,1
9,2004,2,0
7,2067,1,0
8,2085,1,0
6,1925,0,0
7,1913,0,0
8,2178,0,0
1,2045,1,1
3,2154,0,2
3,2288,0,2
8,2000,2,2
1,2154,2,0
3,2147,2,0
9,2164,1,0
1,2094,1,0
5,2022,2,0
5,1872,2,2
9,1984,2,2
2,2144,0,0
5,1943,1,2
8,2030,1,1
6,1950,0,1
9,1940,1,0
9,2035,0,2
8,1975,0,0
3,2566,1,0
1,2366,0,0
4,2280,1,2
9,2132,2,0
2,2852,2,0
8,2021,1,0
7,2012,1,1
3,1993,1,2
9,2080,0,1
2,2083,1,2
7,2171,2,0
3,2270,0,1
7,2171,2,1
9,2062,1,2
8,1933,1,0
6,2000,0,0
8,2052,0,1
7,2140,0,2
4,2942,2,0
2,2931,0,1
8,2033,2,0
6,2130,1,0
7,2086,1,0
6,1974,0,1
3,2397,2,0
2,2113,1,1
6,1991,2,2
9,1922,0,0
6,2042,1,2
6,1985,1,1
3,2176,0,0
7,2037,1,0
3,2317,2,1
6,2160,0,0
3,2036,1,2
3,1979,1,1
3,2239,1,0
1,2006,0,0
2,2120,0,0
5,2011,1,2
8,2152,1,1
5,1975,0,0
3,2496,2,0
2,2444,1,1
3,2522,1,2
9,2249,1,0
7,2095,2,0
3,2217,0,1
9,2163,2,0
6,2079,0,2
1,2292,2,2
4,2559,0,1
9,2251,0,2
7,2264,0,2
1,2277,1,1
1,2032,0,0
5,2068,1,0
9,2116,2,0
6,2075,0,2
1,2708,2,2
6,2551,0,0
2,2225,1,1
2,2231,1,0
9,2334,0,0
9,2201,2,2
8,2281,2,0
9,2173,2,0
3,2125,2,2
9,2213,1,1
8,2077,1,2
9,2069,0,2
9,2104,0,1
7,2083,0,1
6,2065,1,2
6,2081,1,1
6,2179,1,0
3,2112,2,2
8,2329,1,0
7,1982,1,1
6,2128,2,2
2,2084,1,0
9,2049,0,0
3,2062,0,2
3,1948,0,1
2,2673,0,2
9,2131,1,2
1,2460,2,2
1,2306,2,1
9,2098,0,2
6,2027,2,1
3,2296,1,0
2,2203,0,1
6,2019,1,1
6,2312,1,0
1,2322,2,0
5,2007,0,0
7,2362,1,1
3,2169,1,2
9,2050,0,1
7,2221,0,1
9,2028,2,2
1,2844,0,2
3,1992,0,0
9,2140,1,2
9,2010,1,1
7,2176,1,1
3,2444,1,2
7,3338,0,2
5,2371,2,2
4,2136,1,0
1,2069,0,2
6,1904,1,0
6,2220,0,2
4,2090,0,2
8,2051,1,2
2,2051,1,1
8,1998,0,0
9,2279,0,0
1,2292,0,0
2,2264,0,0
4,2417,1,1
5,2097,0,1
6,2073,0,1
3,1940,2,0
5,2011,2,1
2,2222,1,0
2,2270,1,2
1,2066,0,0
4,2020,1,2
9,2029,2,0
5,2452,0,1
5,2405,0,0
5,2207,0,2
2,2214,1,1
4,2189,2,2
1,2279,1,1
6,2186,0,2
5,2387,1,0
6,1902,1,0
8,2289,1,2
8,2102,1,0
6,1784,0,0
4,1874,2,0
2,2158,0,0
1,1741,1,1
6,2385,1,2
3,1947,0,1
3,1787,0,0
8,1706,1,1
3,1918,2,1
7,2126,1,1
4,1817,2,0
5,2070,2,0
4,1926,2,1
5,1843,1,1
1,1978,0,2
2,1884,0,2
3,2159,2,2
2,2322,2,0
7,1891,1,1
3,2454,1,2
6,2245,2,2
6,1928,2,0
2,2009,0,1
2,1830,0,0
8,2051,2,2
2,1897,2,1
3,2084,2,1
5,2003,0,2
2,1804,0,0
1,1875,1,2
7,1955,0,1
4,2061,1,0
1,2028,0,2
5,1879,1,2
5,1968,0,1
7,2053,1,2
4,2419,0,2
4,1970,2,0
8,1986,0,0
2,2228,1,2
9,1797,2,2
4,1872,1,2
8,1906,2,2
5,2434,0,2
5,1903,0,0
4,1976,0,1
4,1983,2,0
5,1970,2,0
9,1969,0,0
8,1849,2,1
3,2377,0,1
8,2000,2,2
6,2050,0,2
3,2085,2,1
1,2431,2,1
8,1912,0,1
9,1959,0,1
5,2003,2,2
2,2052,0,1
5,2025,1,0
8,1963,2,2
7,1975,1,0
1,2066,2,2
9,2433,2,0
1,3002,2,1
2,1910,1,1
1,2284,1,2
4,2228,1,0
5,1985,1,0
6,2061,1,0
5,2117,0,1
6,2060,0,1
6,2208,0,0
3,2282,1,2
3,2144,1,1
8,2140,0,2
9,2068,2,2
2,1911,0,0
4,1907,1,1
8,2106,1,1
4,1982,0,2
2,2026,2,2
6,2055,2,1
3,2081,1,0
1,2053,0,2
6,2288,1,2
9,2152,2,2
7,1867,2,1
2,2371,2,0
8,2035,1,0
8,2093,1,2
2,2229,1,1
8,2042,0,0
5,1938,2,2
8,1800,2,1
7,2146,2,2
5,1903,1,2
4,2098,0,0
6,1926,0,1
2,1926,2,2
5,1944,2,1
3,1975,1,1
6,2072,2,0
8,1844,2,1
1,1855,0,2
5,1760,1,2
3,1865,2,2
3,2030,2,2
9,1726,1,0
1,1762,1,0
3,1745,1,1
4,1806,2,1
9,1764,2,2
2,1710,0,0
9,2057,2,0
2,1769,2,1
3,1646,2,1
9,1827,1,0
8,1748,0,1
1,1856,1,2
1,1779,1,1
5,2457,1,2
6,1737,1,1
3,1729,0,0
1,2165,2,0
3,1811,2,0
3,1765,2,0
1,1953,1,0
8,2004,0,1
7,2090,0,1
8,1780,2,1
3,1853,0,2
6,1795,0,1
6,2266,0,2
6,1811,0,1
7,1946,1,2
7,1747,0,0
6,1812,2,1
2,2273,1,2
8,1629,2,1
3,1919,0,1
4,1906,1,1
1,1945,2,0
2,1940,2,0
3,1814,2,0
8,2305,0,1
7,1977,0,2
6,2071,2,0
3,1922,0,2
9,1945,2,1
3,1854,0,0
8,1737,1,1
9,1847,1,1
7,1903,1,1
7,1871,0,0
7,1894,0,2
7,1995,0,1
8,2283,2,0
9,1829,2,1
5,1871,1,2
8,1935,1,1
5,1779,0,0
9,1981,1,0
2,1769,1,1
3,1829,1,1
8,1995,2,2
6,1891,1,2
5,1964,1,0
1,1906,0,1
2,1795,2,1
5,1820,0,0
9,1801,1,0
6,1891,2,2
1,1838,1,2
9,1660,0,0
5,1687,1,1
9,1720,2,1
9,1937,2,0
8,1686,1,1
3,1839,2,1
8,1738,1,2
7,1687,0,0
8,1662,0,0
3,2212,1,0
4,1819,1,0
4,1755,1,2
8,1706,2,2
1,1994,2,0
6,1695,0,1
3,2161,0,2
1,2098,1,0
7,1894,0,2
9,1622,0,0
6,1990,1,2
6,1786,1,1
8,1867,2,2
6,1859,0,2
3,1944,2,1
7,1846,1,1
2,1898,1,1
4,2126,2,2
9,1876,0,2
2,1773,0,1
2,2374,1,0
6,1838,1,0
1,1986,2,0
9,2573,1,1
2,1921,2,2
1,2100,1,0
3,1867,1,1
4,2425,2,0
5,1947,1,1
7,2036,2,2
7,1869,2,1
5,2377,0,1
6,2061,0,1
3,1929,2,0
7,1997,0,0
2,1879,1,0
4,1736,2,1
3,1962,0,2
6,1832,1,1
